,company_name,keyn,ceo,founded,size,revenue,industry
25,Colgate-Palmolive,226,Noel Wallace,1806,"more than 10,000",more than $10B (USD),Management & Consulting
26,Dedham,227,-1,-1,-1,-1,-1
27,ERM Group,228,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
28,US Bureau of Land Management,229,-1,-1,-1,-1,-1
29,General Motors,230,Mary T. Barra,1908,"more than 10,000",more than $10B (USD),Automotive
30,Microsoft,231,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
31,"Montrose Environmental Group, Inc.",232,-1,2012,"501 to 1,000",$5M to $25M (USD),Architectural & Engineering Services
32,Pratt & Whitney,233,Chris Calio,1925,"more than 10,000",more than $10B (USD),Electronics Manufacturing
33,The Nature Conservancy,234,"Jennifer Morris, Chief Executive Officer ",1951,"1001 to 5,000",$500M to $1B (USD),Nonprofit & NGO
34,MasterCard,235,-1,1966,"more than 10,000",$5B to $10B (USD),Financial Services
35,Forestry Department,236,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
36,University of Minnesota,237,Eric W. Kaler,1851,"more than 10,000",$1B to $5B (USD),Education
37,ALDI,238,-1,-1,"more than 10,000",more than $10B (USD),Retail & Wholesale
38,"Land O’Lakes, Inc.",239,-1,-1,-1,-1,-1
39,The Boston Consulting Group,240,Rich Lesser,1963,"more than 10,000",$500M to $1B (USD),Management & Consulting
40,Amazon.com Services LLC,241,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
41,WestRock,242,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
42,Tuft & Needle,243,JT Marino & Daehee Park - Cofounders,2012,51 to 200,-1,Retail & Wholesale
43,Green Bay Packaging,244,"William F. Kress, President",1933,"1001 to 5,000",$500M to $1B (USD),Manufacturing
44,"Land O’Lakes, Inc.",245,-1,-1,-1,-1,-1
45,Curaleaf,246,-1,-1,-1,-1,Retail & Wholesale
46,Thornton Tomasetti.,247,-1,-1,-1,-1,-1
47,Imperfect Foods,248,Philip Behn,2015,"1001 to 5,000",less than $1M (USD),Manufacturing
48,City of Lowell,249,-1,1826,"1001 to 5,000",-1,Government & Public Administration
49,SWCA Environmental Consultants,250,-1,1981,"501 to 1,000",$100M to $500M (USD),Consulting and Business Services
50,Neiman Marcus,251,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
51,Levi Strauss & Co.,252,-1,1853,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
52,Southern Nevada Health District,253,-1,-1,"501 to 1,000",$25M to $100M (USD),Hospitals & Health Clinics
53,New Seasons Market,254,Forrest Hoffmaster,1999,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
54,BSG,255,-1,-1,11 to 50,$1M to $5M (USD),-1
55,Universal Leaf Tobacco Co. Inc.,256,-1,-1,-1,-1,-1
56,Arcadia,257,Casey Journigan,1993,51 to 200,-1,Culture & Entertainment
57,Lazard Ltd.,258,Ken Jacobs,1978,"1001 to 5,000",$1B to $5B (USD),Financial Services
58,University of Washington,259,-1,-1,-1,-1,-1
59,The Port Authority of New York and New Jersey,260,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
60,Grainger,261,D.G. Macpherson,1927,"more than 10,000",more than $10B (USD),Manufacturing
61,Forestry Department,262,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
62,Jacobs,263,-1,-1,-1,-1,-1
63,GSK,264,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
