,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
588,234,University of Washington,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
589,235,World Resources Institute,-1,1982,51 to 200,$25M to $100M (USD),Nonprofit & NGO
590,236,Ericsson,Börje Ekholm,1992,"more than 10,000",-1,Telecommunications
591,237,Facebook,Mark Zuckerberg,2004,"more than 10,000",more than $10B (USD),Information Technology
592,238,SC Johnson,H. Fisk Johnson,1886,"more than 10,000",$5B to $10B (USD),Manufacturing
593,239,"City of Hampton, VA",-1,-1,"1001 to 5,000",-1,Government & Public Administration
594,240,Penn State University,Eric J. Barron,1855,"more than 10,000",$5B to $10B (USD),Education
595,241,Burlington Public Schools,-1,-1,201 to 500,-1,Education
596,242,Rivian Automotive,-1,2009,-1,-1,Vehicle Manufacturing
597,243,"Sheladia Associates, Inc.",-1,-1,-1,-1,-1
598,244,"Diversey, Inc.",Phil Wieland,-1,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
599,245,ORAU,-1,-1,"501 to 1,000",-1,Nonprofit & NGO
600,246,Stanford University,Marc Tessier-Lavigne,1891,"more than 10,000",-1,Education
601,247,Goby Inc,-1,-1,-1,-1,-1
602,248,Denver Museum of Nature & Science,-1,-1,201 to 500,-1,Nonprofit & NGO
603,249,Trimble,-1,1979,51 to 200,$25M to $100M (USD),Telecommunications
604,250,Apple,Tim Cook,1976,"more than 10,000",more than $10B (USD),Manufacturing
605,251,WestRock,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
606,252,Neiman Marcus,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
607,253,WestRock,-1,-1,-1,-1,-1
608,254,LG Vehicle Components,-1,-1,-1,-1,-1
609,255,University of Washington,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
610,256,"McCain Foods USA, Inc.",-1,1957,"more than 10,000",$5B to $10B (USD),Manufacturing
