,ceo,founded,size,revenue,industry,Unnamed: 0,company_name
87,-1,-1,-1,-1,-1,87,Council of the Great Lakes Region
88,Sir Andrew Witty,1977,"more than 10,000",more than $10B (USD),Healthcare,88,UnitedHealth Group
89,-1,-1,-1,-1,-1,89,"Counterpart International, Inc."
90,-1,1898,"1001 to 5,000",$1B to $5B (USD),Education,90,Northeastern University
91,-1,-1,-1,-1,-1,91,Cleantech Group
92,-1,-1,-1,-1,-1,92,US Surface Transportation Board
93,-1,1972,"more than 10,000",$5B to $10B (USD),Manufacturing,93,Essilor
94,-1,-1,-1,-1,-1,94,River Valley Market Llc
95,-1,-1,-1,-1,-1,95,Goodfair
96,-1,-1,-1,-1,-1,96,"Land O’Lakes, Inc."
97,-1,-1,-1,-1,-1,97,Umatilla County
98,-1,-1,-1,-1,-1,98,"Sheladia Associates, Inc."
99,-1,-1,-1,-1,-1,99,Goby Inc
100,-1,-1,-1,-1,-1,100,LG Vehicle Components
101,-1,-1,less than 10,less than $1M (USD),-1,101,GreenPrint
102,-1,-1,-1,-1,-1,102,Hines
103,-1,-1,-1,-1,-1,103,Planta
